Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
10,11,2012,United,SFO,DEN,3,-2,0,1,0,1,112
25,9,2012,United,LAS,ORD,0,-14,0,0,1,0,170
26,1,2012,United,LAX,SFO,0,0,0,1,1,0,58
9,3,2012,United,BOS,LAX,1,5,0,0,1,0,338
24,5,2012,United,JFK,LAX,0,20,0,1,1,0,343
23,3,2012,United,ORD,ATL,0,-7,0,0,0,0,78
28,12,2012,United,ORD,SFO,,,1,0,0,1,
1,11,2012,United,SFO,LAX,,,1,0,0,1,
2,11,2012,United,ORD,DEN,1,22,0,0,0,1,124
28,4,2012,United,JFK,SFO,0,3,0,0,0,0,333
29,6,2012,United,EWR,ORD,95,154,0,0,0,0,114
22,9,2012,United,SFO,LAX,,,1,1,0,0,
10,5,2012,United,ORD,DEN,0,4,0,1,0,0,132
19,5,2012,United,BOS,DEN,3,78,0,1,0,0,288
31,10,2012,United,LAX,ORD,60,50,0,0,0,1,195
27,11,2012,United,ORD,DFW,,,1,1,0,1,
6,6,2012,United,LAX,SFO,1,-12,0,0,0,0,48
5,5,2012,United,LAS,DEN,0,-4,0,0,0,0,86
7,12,2012,United,LAS,SFO,7,-5,0,0,0,1,63
10,2,2012,United,JFK,LAX,0,25,0,0,1,0,351
28,7,2012,United,LAX,SFO,5,19,0,0,0,0,57
19,4,2012,United,JFK,LAX,7,21,0,0,0,0,324
25,8,2012,United,ORD,SFO,0,-16,0,0,0,0,225
29,2,2012,United,SFO,MIA,12,18,0,1,0,0,283
28,4,2012,United,LAX,BOS,5,11,0,0,0,0,301
7,7,2012,United,ORD,MIA,6,-4,0,0,0,0,139
8,3,2012,United,SFO,JFK,0,8,0,1,0,0,290
14,3,2012,United,SFO,LAX,33,35,0,1,0,0,50
9,11,2012,United,LAS,LAX,-2,0,0,0,0,1,50
6,9,2012,United,ORD,BOS,,,1,0,0,0,
15,12,2012,United,LAS,ORD,,,1,0,0,1,
18,2,2012,United,LAS,DEN,2,-2,0,0,0,0,81
20,12,2012,United,LAX,SFO,-2,-4,0,0,0,1,52
27,9,2012,United,ORD,MIA,7,-12,0,0,0,0,151
25,8,2012,United,LAX,DEN,4,1,0,0,0,0,111
20,4,2012,United,ORD,SFO,31,56,0,1,0,0,237
12,7,2012,United,LAX,SFO,25,28,0,0,0,0,47
3,10,2012,United,SFO,JFK,-2,-21,0,0,0,1,275
11,5,2012,United,LAS,LAX,2,2,0,0,0,0,44
17,5,2012,United,ORD,ATL,8,45,0,1,0,0,95
6,10,2012,United,SFO,LAX,,,1,0,1,1,
7,2,2012,United,SFO,LAX,92,110,0,0,0,0,59
16,3,2012,United,JFK,SFO,0,-5,0,1,0,0,346
17,11,2012,United,ORD,DEN,14,2,0,0,0,1,122
22,5,2012,United,BOS,SFO,40,14,0,0,0,0,327
22,2,2012,United,LAS,DEN,9,8,0,1,0,0,84
8,6,2012,United,ORD,SFO,5,-1,0,0,1,0,225
22,3,2012,United,SFO,MIA,0,16,0,0,1,0,286
6,3,2012,United,ORD,DEN,0,-17,0,0,0,0,121
17,7,2012,United,LAX,SFO,40,59,0,0,1,0,77
14,4,2012,United,EWR,ORD,0,-18,0,0,0,0,102
14,12,2012,United,JFK,SFO,-2,19,0,1,1,1,371
28,3,2012,United,ORD,LAS,0,-5,0,1,0,0,192
7,3,2012,United,LAX,SFO,0,-13,0,0,1,0,60
25,7,2012,United,LAS,DEN,63,73,0,0,0,0,82
12,1,2012,United,SFO,LAX,,,1,1,0,0,
5,7,2012,United,LAX,DEN,11,-8,0,0,0,0,100
30,6,2012,United,ORD,MIA,10,9,0,0,0,0,138
15,6,2012,United,LAX,DEN,96,93,0,0,0,0,109
13,9,2012,United,ORD,LAS,0,-5,0,1,0,0,193
19,9,2012,United,LAX,LAS,10,7,0,0,0,0,41
11,12,2012,United,EWR,ORD,,,1,1,0,1,
9,11,2012,United,SFO,JFK,-2,-6,0,0,1,1,282
29,2,2012,United,JFK,SFO,0,1,0,0,1,0,344
17,2,2012,United,ORD,DFW,,,1,0,1,0,
2,10,2012,United,SFO,ORD,-2,-17,0,0,0,1,195
23,3,2012,United,SFO,EWR,0,34,0,0,0,0,301
23,6,2012,United,ORD,MCO,0,-10,0,0,1,0,120
3,5,2012,United,LAX,JFK,0,28,0,0,0,0,311
4,12,2012,United,SFO,ORD,-2,-13,0,0,0,1,198
25,12,2012,United,ORD,BOS,-2,-7,0,0,0,1,108
28,12,2012,United,LAX,DEN,,,1,0,0,1,
22,9,2012,United,ORD,DEN,,,1,1,1,0,
12,5,2012,United,ORD,DEN,78,101,0,1,0,0,137
26,5,2012,United,BOS,LAX,69,56,0,1,0,0,333
2,3,2012,United,BOS,SFO,,,1,0,1,0,
2,11,2012,United,SFO,LAS,-2,3,0,0,0,1,72
22,5,2012,United,LAX,DFW,0,3,0,0,0,0,164
4,5,2012,United,EWR,SFO,0,-12,0,0,1,0,331
25,8,2012,United,SFO,LAX,0,-13,0,0,0,0,56
13,11,2012,United,LAS,ORD,-1,-31,0,0,1,1,172
4,4,2012,United,LAX,EWR,2,-7,0,0,1,0,287
11,2,2012,United,ORD,SFO,65,66,0,0,1,0,255
9,6,2012,United,LAX,SFO,188,185,0,0,0,0,52
2,10,2012,United,SFO,BOS,1,-21,0,0,0,1,298
8,5,2012,United,LAS,ORD,3,3,0,0,0,0,175
